"hours since 01.01.2015  1:00:00",velocity,density,temperature,status
0,575.3,2.2,142000,1
1,557.3,1.9,110000,0
2,550.6,2.1,121000,0
3,534.5,1.7,132000,0
4,507.2,1.7,121000,0
5,523.5,2,148000,0
6,538.6,1.9,137000,0
7,521,2.1,130000,0
8,501.6,2,120000,0
9,479.9,1.9,143000,0
10,474.1,2.9,93400,0
11,449,4.1,49600,0
12,442.4,4.4,50700,0
13,448,4.1,55700,0
14,456.3,3.9,39500,0
15,448.9,4.1,42000,0
16,446.4,4.3,44000,0
17,438.6,5,54700,0
18,434.5,5.2,58200,0
19,433.7,5.1,63600,0
20,439,4.9,53900,0
21,439.5,4.8,49700,0
22,431.7,4.5,62800,0
23,435.9,5,73100,0
24,431.7,5.2,59600,0
25,428.7,4.9,49700,0
26,424.7,5.4,59400,0
27,425.6,5.9,76400,0
28,412.4,5.5,57500,0
29,417.5,6.7,83700,0
30,433.2,10.3,115000,0
31,441.7,10.3,111000,0
32,450.1,6.1,96100,0
33,444.5,5,82400,0
34,436.9,4.2,92600,0
35,433,5.9,104000,0
36,414.9,8.8,109000,0
37,416.4,7.7,81000,0
38,422.2,3.8,49600,0
39,411.4,3.1,57400,0
40,396,4.8,48600,0
41,382.8,6.7,43000,0
42,378.8,7.2,45400,0
43,383.6,10.3,52400,0
44,381,10.3,55200,0
45,373.3,16.1,44700,0
46,376.2,14.8,42200,0
47,375.5,11.6,57300,0
48,432.9,6.7,138000,0
49,422.1,8.9,203000,0
50,428.5,13.8,178000,0
51,444.4,12.1,177000,0
52,451.1,11.2,175000,0
53,466.2,8.4,204000,0
54,474,6,231000,0
55,482.2,6.2,258000,0
56,491.7,5.2,250000,0
57,465.3,4.8,200000,0
58,449.3,5.2,170000,1
59,443.8,5.7,189000,1
60,448.5,4.7,150000,0
61,461.4,4.4,96600,1
62,462.6,3.1,118000,0
63,455,3.6,107000,0
64,463.3,2.6,74600,0
65,447.2,5.5,67000,0
66,451,6.2,66300,0
67,451.6,6.5,66400,0
68,448.7,6.4,58600,1
69,447,6.7,60100,0
70,444.4,6.2,52600,0
71,439.9,6.2,53800,0
72,437.4,6.7,56200,0
73,440.5,8.4,58800,0
74,426.6,5,46300,0
75,429.8,4.6,42900,0
76,402.6,3.6,45600,0
77,395.3,3,46900,0
78,382.1,6.8,29000,0
79,404.3,4.3,36200,0
80,397.4,4.1,41400,0
81,402.5,3.9,52500,0
82,412.8,4,62000,0
83,413.5,3.6,49500,0
84,402.2,1.2,58800,0
85,407,2.7,73600,0
86,401.9,1.6,63700,0
87,395.4,1.1,66000,0
88,402.6,1.3,63500,0
89,399.9,2,56200,0
90,401,4.3,79200,0
91,390.7,5.3,129000,0
92,383.8,7.1,111000,0
93,419.4,4.1,109000,0
94,399.6,7.2,132000,1
95,458.2,7.5,221000,0
96,466.2,6.3,210000,1
97,475.9,5,248000,0
98,484.7,3.5,381000,1
99,481.9,4.4,433000,0
100,487.5,4.2,325000,0
101,490.1,1.7,285000,1
102,504,3.3,417000,0
103,493.7,3,373000,0
104,495.5,3,301000,1
105,497.9,3.6,322000,1
106,500.4,3.2,298000,0
107,505.1,3.6,252000,1
108,507.5,3.1,262000,0
109,510.6,3.1,223000,1
110,521.7,2.7,223000,1
111,,,-100000,3
112,515.4,2.1,200000,0
113,493.4,1.6,204000,1
114,511.3,1.4,195000,1
115,498.9,1.6,182000,0
116,505.4,1.5,202000,0
117,495.1,2.4,180000,0
118,496.9,2.6,162000,0
119,487.6,2.8,149000,1
120,466.2,2.4,146000,1
121,458.7,2.5,146000,0
122,465,1.6,191000,1
123,465.4,2.6,216000,0
124,486.1,1.6,199000,0
125,476.3,1.8,160000,0
126,477,0.9,175000,1
127,505,1.1,221000,1
128,500.9,1.5,192000,0
129,507.5,2.1,171000,0
130,494.6,3.2,169000,0
131,506.8,3.5,140000,0
132,501.3,3.3,164000,0
133,503.6,4.3,160000,0
134,494,7.3,108000,0
135,495,7.7,60400,0
136,480.3,4,92700,0
137,477.6,7,47600,0
138,480.8,6.4,103000,0
139,481,4.4,116000,0
140,466.3,3.1,103000,1
141,455.5,5.1,72800,0
142,449.6,6.1,52100,0
143,450.6,10,66100,0
144,427.1,13.2,39400,0
145,436.1,12.7,40500,0
146,434.1,11.2,42000,0
147,440,13.1,51600,0
148,459.8,14.1,71500,0
149,465.5,10.1,45600,0
150,467.1,7.8,47600,0
151,464.9,7.2,41000,0
152,471.2,12.5,42000,0
153,458.4,19.2,34100,0
154,446.9,10,24200,0
155,432.4,11.9,22800,0
156,425.8,10.6,22600,0
