hours since 03.02.2016  18:00:00;velocity
0;384.2
1;391.9
2;408.2
3;406.4
4;409.1
5;403.5
6;397.1
7;397.5
8;396.1
9;403
10;417.2
11;432.5
12;403.7
13;406.8
14;416.6
15;431
16;436.1
17;437.8
18;436
19;427.8
20;433.9
21;459.6
22;465.2
23;450.9
24;445.9
25;438.2
26;425.2
27;412.1
28;422.3
29;424.1
30;425
31;443.7
32;455.9
33;454.9
34;458.8
35;464.1
36;459.8
37;463.5
38;479.9
39;480
40;461.9
41;485.6
42;482.3
43;479.9
44;471.1
45;462.4
46;469.5
47;469
48;456.4
49;457.1
50;458.6
51;452.6
52;456.9
53;453.3
54;458.2
55;460.3
56;463.4
57;448.7
58;445.1
59;445.2
60;446.7
61;450.3
62;452.7
63;445
64;443.8
65;433.8
66;431.5
67;426.9
68;431.4
69;430.9
70;437.8
71;441.9
72;437
73;433.1
74;426.8
75;426.6
76;414.4
77;404.6
78;408.6
79;408.2
80;403.5
81;403.7
82;398.5
83;402
84;394
87;394.3
88;398.5
89;391.1
90;385.9
91;392.1
92;389
93;382.5
94;383.7
95;382.5
96;387.1
97;384.3
98;380.3
99;380.3
101;397.5
102;395.1
103;387.8
104;392
105;398.1
106;383.1
107;402.6
108;415.4
109;454.1
110;442.2
111;442.7
112;445.4
113;436.8
114;431.3
115;427.4
116;400.8
117;373.5
118;376
119;384.9
120;383
121;381.9
122;373.7
124;368.2
125;384.6
126;410.7
127;406.4
128;396.3
129;392.1
130;406.2
131;406.3
132;416.2
133;424.7
134;418.3
135;424.6
136;429.3
137;432.6
138;417.4
139;410.3
140;389.9
141;402.5
142;406.9
144;392.1
145;391.5
146;380.8
147;401.2
148;387.2
149;387.7
150;382.2
151;389.2
152;392.8
153;395.7
154;385.2
155;383.4
156;383
157;375.4
158;369.2
159;365
160;356
161;362.1
162;354.6
163;377.4
164;398.4
165;367.3
166;362.2
167;365.6
168;384.5
169;382.7
170;373.7
171;379.5
172;364.6
173;333
174;322.7
175;321.7
176;321.8
177;325.7
178;324.9
179;327
180;330.1
181;323
182;322.8
183;322
184;321.1
185;319.9
187;321.2
188;321.2
189;326.5
190;326.6
191;348.6
192;351.3
193;339
194;337.4
195;349.5
196;343
197;341
198;336
199;347.8
200;360.2
201;357.2
202;354.3
203;355.8
204;354.2
205;359.4
206;362.1
207;359
208;352.8
209;352.9
210;357.6
211;344.4
212;345.6
213;349.8
214;345.3
215;349.7
216;349.3
217;356.8
218;356.5
219;357.1
220;350.7
221;358.9
222;358.7
223;361.1
224;366.5
225;362.7
226;365.2
227;391.6
228;401
229;406.2
230;402.4
231;410
232;401.6
233;379.1
234;382.3
235;385.9
236;387.7
237;418.2
238;414.8
239;412
240;420.1
241;409.4
242;403.9
243;413.7
244;413.3
245;400.9
246;408.5
247;402.8
248;396.8
249;415.6
250;414.7
251;407.7
252;404.8
253;393.2
254;399.4
255;390.9
256;379.2
257;380.5
258;382.7
259;386.1
260;406.5
261;384
262;388
263;396.8
264;387.6
265;416.5
266;385.7
267;375.2
268;389.2
269;369.9
270;374.9
271;372.5
272;374.1
273;372
274;371.8
275;377.6
276;376.7
277;379.1
278;397.1
279;407
280;412.5
281;420
282;418
284;407.4
285;409.1
286;434.8
287;428.6
288;430.9
289;424.6
290;420.2
291;411.5
294;415.8
295;420.5
296;417.3
297;412.9
298;427.6
299;437.6
300;434.1
301;458.8
302;472.5
303;473.7
304;524.3
305;523.8
306;514.1
307;550.5
308;573.8
309;574
310;605.9
311;599.4
312;612.2
313;614.8
314;630.2
315;623.6
316;618.4
317;594
318;584
319;573.3
320;560.8
321;589.5
322;567.6
323;577.2
324;599.1
325;600.5
326;603.2
327;591.1
328;543.2
329;556.5
330;554.3
331;565.3
332;556.6
333;547.2
334;529.8
335;541.9
336;540.8
337;569
338;590.6
339;606.5
340;600.1
341;611.2
343;602.6
344;637.5
345;650.1
346;640.1
347;659.2
348;609.7
349;631.7
350;639.1
351;617.1
352;621.5
353;636.4
354;615.5
355;611.1
357;621
358;605.6
359;607.8
360;606.2
361;591.7
362;578.7
363;592.8
364;600.5
365;571.9
366;571.9
367;570.9
368;559.1
369;563.1
370;563.8
371;582.8
372;561
373;552.6
374;568
375;565.7
376;568.1
377;562.3
378;554.3
379;541.8
380;542.7
381;550.2
382;554.4
383;546.4
384;542.6
385;544.4
386;536.5
387;540.1
388;535.7
389;522.9
390;531.6
391;516
392;516.4
393;515
394;518.3
395;510.5
396;519.9
397;518.9
398;513.4
399;485
400;491.7
401;486.1
402;480
403;467.6
404;457.1
405;443.1
406;448.7
407;436.5
408;436.3
409;429.4
410;422.6
411;403.1
412;398.6
413;392.3
414;387.7
415;388.9
416;371.2
417;367.5
418;362.8
419;365.2
420;349.8
421;356.8
422;343.5
423;338.7
424;341
425;344.3
426;342.2
427;341.1
428;338.2
429;332.6
430;338.4
431;340.3
432;342.1
433;340.5
435;347.7
436;345.8
437;337.4
438;340.2
439;336.3
440;340.2
441;339.5
442;337.8
443;342.4
444;343.5
445;346.7
446;346.8
447;356.9
448;358.1
449;357.9
450;352.2
451;349.5
452;351.6
453;354.3
454;353.3
455;356
456;370.3
457;376.1
458;372.7
459;367.6
460;364
461;358.9
462;361.3
463;365.2
464;375
465;376.1
466;367.3
467;375.2
468;377.7
469;377.3
470;377.4
471;377.1
472;370.3
473;374.2
474;373.9
475;367.7
476;372.3
477;371
478;366.4
479;358.3
480;357.4
481;372
482;371.3
483;354.1
484;344.3
485;349.1
486;358.3
487;353.7
488;356.7
489;353.8
490;350.8
491;337.4
492;325.7
493;340.5
494;358.1
495;354.6
496;346.2
497;330.8
498;337.2
499;341.9
500;342
501;334.7
502;329.9
503;342.5
504;321.3
505;310.6
506;306.7
507;315.5
508;315.2
509;314
510;309.7
511;311.3
512;312.4
513;318.9
514;316.6
515;311.4
516;315.9
517;315.6
518;313.5
519;310
520;304.3
521;299.9
522;296.4
523;310.3
524;316.6
526;327.2
527;312.6
529;336.2
530;336.1
531;356.1
532;353.1
533;357
534;373.9
535;369.2
536;373.4
537;391.4
538;378.5
539;383.6
540;383.2
541;381.7
542;409.9
543;418.1
544;417.3
545;409.9
546;412.5
547;421.2
548;409.5
549;409.9
550;402.2
551;406.1
552;395.8
553;389.6
554;379.4
555;383
556;377.3
557;380.5
558;386.7
559;386.9
560;384.8
561;392
562;397
564;391
565;395.1
566;388.2
567;390.7
568;371.2
569;362
570;361.9
571;369.3
572;371
573;388.9
574;384
575;370.3
576;358.7
577;367.4
578;368
580;371.5
581;378.6
582;376.4
583;373.9
585;376.1
586;378
587;389.5
588;379
589;377.9
590;376.2
591;377
592;373.7
593;384.1
594;378.2
595;374.6
596;381.1
597;373.3
598;372
599;373.7
600;374.3
601;365.5
602;366.2
603;365.2
604;363.7
605;358.4
606;355.8
607;366.2
608;368.2
609;364
610;360.7
611;349.6
612;350.5
613;346.4
614;344.1
615;350.3
616;343.6
617;340
618;324.8
619;330.4
620;337.8
621;331.6
622;324.6
623;322.6
624;321.9
625;317
626;316.6
627;314
628;312.3
629;308.2
630;308.2
631;305.3
632;317.9
633;337.8
634;375.4
635;389.3
636;388.2
637;398.2
638;389
639;382.5
640;380.9
641;385.3
642;377.8
643;384.4
644;388.2
645;392.9
646;389.4
647;392.5
648;392.3
649;383.7
650;374.3
651;384.1
652;382.6
653;379.6
654;385.4
655;382.3
656;377.8
657;378.7
658;390.5
659;398
660;401.8
661;399
662;406.3
663;420.6
664;430.4
665;438.6
666;442.3
667;443.3
668;438.7
669;444.3
670;471.3
671;459
